date,airfare_index,predicted_index,forecast_index,actual_index,lower_bound,upper_bound
2022-03-23,32.97497434571309,32.92,32.92,32.97,30.3,35.54
2022-03-24,32.919714151612325,33.68,33.68,32.92,31.06,36.3
2022-03-25,33.467023442706534,34.06,34.06,33.47,31.44,36.68
2022-03-26,33.4212290362587,34.45,34.45,33.42,31.83,37.08
2022-03-27,32.75251523661123,34.62,34.62,32.75,32.0,37.25
2022-03-28,30.72961424538257,33.16,33.16,30.73,30.53,35.78
2022-03-29,31.77277323792438,33.21,33.21,31.77,30.58,35.83
2022-03-30,32.02624253894968,33.44,33.44,32.03,30.82,36.07
2022-03-31,32.877883344239336,33.68,33.68,32.88,31.06,36.3
